Country,Site,Strategy,Age.Group,Vaccine.Effects,Value_50_50
Guatemala,Rural,aya,1-4 years,Overall,6
Guatemala,Rural,aya,5-9 years,Overall,5
Guatemala,Rural,aya,10-19 years,Overall,23
Guatemala,Rural,aya,20-29 years,Overall,23
Guatemala,Rural,aya,30-39 years,Overall,6
Guatemala,Rural,aya,40-59 years,Overall,6
Guatemala,Rural,aya,60+ years,Overall,6
Guatemala,Rural,aya,<6 months,Direct,0
Guatemala,Rural,aya,6-11 months,Direct,0
Guatemala,Rural,aya,1-4 years,Direct,0
Guatemala,Rural,aya,5-9 years,Direct,0
Guatemala,Rural,aya,10-19 years,Direct,35
Guatemala,Rural,aya,20-29 years,Direct,35
Guatemala,Rural,aya,30-39 years,Direct,0
Guatemala,Rural,aya,40-59 years,Direct,0
Guatemala,Rural,aya,60+ years,Direct,0
Guatemala,Rural,aya,<6 months,Indirect,7
Guatemala,Rural,aya,6-11 months,Indirect,8
Guatemala,Rural,aya,1-4 years,Indirect,6
Guatemala,Rural,aya,5-9 years,Indirect,5
Guatemala,Rural,aya,10-19 years,Indirect,7
Guatemala,Rural,aya,20-29 years,Indirect,6
Guatemala,Rural,aya,30-39 years,Indirect,6
Guatemala,Rural,aya,40-59 years,Indirect,6
Guatemala,Rural,aya,60+ years,Indirect,6
Guatemala,Urban,aya,<6 months,Overall,9
Guatemala,Urban,aya,6-11 months,Overall,9
Guatemala,Urban,aya,1-4 years,Overall,8
Guatemala,Urban,aya,5-9 years,Overall,8
Guatemala,Urban,aya,10-19 years,Overall,25
Guatemala,Urban,aya,20-29 years,Overall,25
Guatemala,Urban,aya,30-39 years,Overall,8
Guatemala,Urban,aya,40-59 years,Overall,8
Guatemala,Urban,aya,60+ years,Overall,7
Guatemala,Urban,aya,<6 months,Direct,0
Guatemala,Urban,aya,6-11 months,Direct,0
Guatemala,Urban,aya,1-4 years,Direct,0
Guatemala,Urban,aya,5-9 years,Direct,0
Guatemala,Urban,aya,10-19 years,Direct,36
Guatemala,Urban,aya,20-29 years,Direct,37
Guatemala,Urban,aya,30-39 years,Direct,0
Guatemala,Urban,aya,40-59 years,Direct,0
Guatemala,Urban,aya,60+ years,Direct,0
Guatemala,Urban,aya,<6 months,Indirect,9
Guatemala,Urban,aya,6-11 months,Indirect,9
Guatemala,Urban,aya,1-4 years,Indirect,8
Guatemala,Urban,aya,5-9 years,Indirect,8
Guatemala,Urban,aya,10-19 years,Indirect,9
Guatemala,Urban,aya,20-29 years,Indirect,8
Guatemala,Urban,aya,30-39 years,Indirect,8
Guatemala,Urban,aya,40-59 years,Indirect,8
Guatemala,Urban,aya,60+ years,Indirect,7
India,Rural,lt1,<6 months,Overall,18
India,Rural,lt1,6-11 months,Overall,19
India,Rural,lt1,1-4 years,Overall,0
India,Rural,lt1,5-9 years,Overall,0
India,Rural,lt1,10-19 years,Overall,0
India,Rural,lt1,20-29 years,Overall,0
India,Rural,lt1,30-39 years,Overall,0
India,Rural,lt1,40-59 years,Overall,0
India,Rural,lt1,60+ years,Overall,0
India,Rural,lt1,<6 months,Direct,35
India,Rural,lt1,6-11 months,Direct,38
India,Rural,lt1,1-4 years,Direct,0
India,Rural,lt1,5-9 years,Direct,0
India,Rural,lt1,10-19 years,Direct,0
India,Rural,lt1,20-29 years,Direct,0
India,Rural,lt1,30-39 years,Direct,0
India,Rural,lt1,40-59 years,Direct,0
India,Rural,lt1,60+ years,Direct,0
India,Rural,lt1,<6 months,Indirect,0
India,Rural,lt1,6-11 months,Indirect,0
India,Rural,lt1,1-4 years,Indirect,0
India,Rural,lt1,5-9 years,Indirect,0
India,Rural,lt1,10-19 years,Indirect,0
India,Rural,lt1,20-29 years,Indirect,0
India,Rural,lt1,30-39 years,Indirect,0
India,Rural,lt1,40-59 years,Indirect,0
India,Rural,lt1,60+ years,Indirect,0
India,Urban,lt1,<6 months,Overall,17
India,Urban,lt1,6-11 months,Overall,16
India,Urban,lt1,1-4 years,Overall,0
India,Urban,lt1,5-9 years,Overall,0
India,Urban,lt1,10-19 years,Overall,0
India,Urban,lt1,20-29 years,Overall,0
India,Urban,lt1,30-39 years,Overall,0
India,Urban,lt1,40-59 years,Overall,0
India,Urban,lt1,60+ years,Overall,0
